student_id,name,gender,grade,attendance_pct,study_hours_per_week,math_marks,science_marks,english_marks,social_studies_marks,total_marks,average_marks,result
STU1056,Krishna Iyer,Female,12,67.3,7.1,46.8,49.8,47.5,55.8,199.9,50.0,Pass
STU1057,Anika Desai,Male,11,66.6,7.5,20.4,24.0,32.5,39.2,116.1,29.0,Fail
STU1058,Riya Pillai,Male,10,63.6,3.9,47.7,63.7,59.5,50.5,221.4,55.4,Pass
STU1059,Aryan Kulkarni,Female,9,57.1,13.5,58.8,46.2,63.4,64.7,233.1,58.3,Pass
STU1060,Neha Joshi,Female,9,73.2,3.8,43.6,40.4,42.5,33.4,159.9,40.0,Pass
STU1061,Sneha Rao,Male,10,93.5,18.5,64.9,67.3,72.1,66.9,271.2,67.8,Pass
STU1062,Sneha Desai,Female,12,100.0,18.9,90.3,87.9,76.1,86.4,340.7,85.2,Pass
STU1063,Ishaan Desai,Female,10,73.1,8.1,45.4,47.9,42.6,59.5,195.4,48.8,Pass
STU1064,Myra Desai,Female,12,93.0,12.0,54.9,70.1,61.0,78.6,264.6,66.2,Pass
STU1065,Aarav Joshi,Male,10,75.3,9.5,61.5,42.5,66.9,56.8,227.7,56.9,Pass
STU1066,Reyansh Joshi,Male,11,60.2,12.6,48.6,34.6,47.4,31.9,162.5,40.6,Pass
STU1067,Dhruv Sharma,Female,12,88.4,15.5,62.1,66.8,68.0,69.9,266.8,66.7,Pass
STU1068,Diya Kulkarni,Female,11,82.8,11.2,66.1,64.6,69.3,53.7,253.7,63.4,Pass
STU1069,Dhruv Pillai,Female,9,100.0,12.9,76.5,78.7,90.4,90.9,336.5,84.1,Pass
STU1070,Ananya Patel,Male,10,61.6,6.6,50.8,50.0,47.3,44.9,193.0,48.2,Pass
STU1071,Kavya Kulkarni,Female,9,100.0,12.7,72.4,49.6,51.8,62.0,235.8,59.0,Pass
STU1072,Aditya Patel,Female,9,99.1,11.6,74.7,75.3,76.4,62.2,288.6,72.2,Pass
STU1073,Aarav Singh,Male,9,79.8,6.3,46.6,45.9,50.4,41.7,184.6,46.2,Pass
STU1074,Arjun Mehta,Male,9,76.4,9.8,61.4,53.0,65.8,64.1,244.3,61.1,Pass
STU1075,Reyansh Mehta,Female,10,71.4,8.0,59.9,53.6,52.0,51.1,216.6,54.2,Pass
STU1076,Ishaan Rao,Male,9,,7.6,58.3,56.5,49.1,56.2,220.1,55.0,Pass
STU1077,Reyansh Joshi,Male,10,77.8,5.3,69.4,76.6,72.6,61.4,280.0,70.0,Pass
STU1078,Krishna Rao,Male,10,86.2,10.6,61.5,60.5,58.9,65.7,246.6,61.6,Pass
STU1079,Vivaan Sharma,Male,11,76.5,6.7,43.3,54.5,49.0,55.2,202.0,50.5,Pass
STU1080,Anika Reddy,Male,12,97.0,9.0,52.5,50.2,68.7,54.1,225.5,56.4,Pass
STU1081,Shaurya Chavan,Female,12,81.5,14.4,44.9,52.1,42.5,61.4,200.9,50.2,Pass
STU1082,Dhruv Iyer,Female,10,76.9,12.4,50.5,42.0,50.9,47.8,191.2,47.8,Pass
STU1083,Aditya Rao,Male,11,92.3,6.7,52.9,54.3,47.2,60.0,214.4,53.6,Pass
STU1084,Krishna Nair,Female,10,60.5,10.4,52.3,56.6,36.6,44.3,189.8,47.4,Pass
STU1085,Priya Patel,Female,10,84.1,10.7,59.5,59.5,60.1,63.3,242.4,60.6,Pass
STU1086,Aarav Patel,Male,10,80.3,16.8,70.4,66.7,67.8,65.4,270.3,67.6,Pass
STU1087,Arjun Pillai,Male,11,63.1,14.7,64.5,57.5,58.0,54.3,234.3,58.6,Pass
STU1088,Aadhya Patel,Male,12,59.5,2.8,45.4,29.6,37.5,40.2,152.7,38.2,Fail
STU1089,Aarav Iyer,Male,11,92.1,14.0,66.4,74.7,68.2,81.1,290.4,72.6,Pass
STU1090,Neha Reddy,Female,9,91.6,15.6,56.1,54.5,48.1,59.6,218.3,54.6,Pass
STU1091,Aadhya Reddy,Female,11,82.1,12.3,79.5,63.8,81.4,66.4,291.1,72.8,Pass
STU1092,Priya Joshi,Male,11,100.0,9.7,39.5,47.8,40.8,52.0,180.1,45.0,Pass
STU1093,Myra Pillai,Female,11,85.3,19.9,76.3,72.7,85.7,82.9,317.6,79.4,Pass
STU1094,Neha Mehta,Female,11,95.0,13.4,85.8,78.8,95.6,75.9,336.1,84.0,Pass
STU1095,Sneha Desai,Male,12,85.0,18.2,82.8,67.1,73.3,69.6,292.8,73.2,Pass
STU1096,Pari Pillai,Female,9,76.7,15.2,67.4,49.2,59.1,59.0,234.7,58.7,Pass
STU1097,Reyansh Sharma,Female,12,67.3,11.2,62.3,60.3,76.0,58.9,257.5,64.4,Pass
STU1098,Ira Desai,Female,12,72.8,7.3,42.7,44.0,42.0,40.1,168.8,42.2,Pass
STU1099,Vihaan Chavan,Male,11,76.9,9.7,57.5,59.3,46.0,66.6,229.4,57.4,Pass
STU1100,Arjun Reddy,Female,10,96.4,9.9,69.8,71.7,75.0,82.1,298.6,74.6,Pass
STU1101,Reyansh Desai,Female,10,89.2,5.6,58.9,47.5,55.5,53.0,214.9,53.7,Pass
STU1102,Myra Singh,Female,12,84.0,12.8,54.3,59.3,68.5,56.8,238.9,59.7,Pass
STU1103,Pooja Gupta,Female,12,90.4,16.8,73.2,69.6,70.0,73.6,286.4,71.6,Pass
STU1104,Saanvi Reddy,Female,11,86.3,9.1,58.2,52.4,55.6,41.1,207.3,51.8,Pass
STU1105,Priya Patel,Female,12,83.1,18.8,75.9,75.3,84.7,66.1,302.0,75.5,Pass
STU1106,Kabir Rao,Female,11,62.0,2.9,39.3,42.8,49.8,20.3,152.2,38.0,Fail
STU1107,Vivaan Mehta,Female,10,93.7,14.9,76.4,73.6,78.4,68.1,296.5,74.1,Pass
STU1108,Saanvi Chavan,Male,10,74.5,16.4,46.5,52.9,47.0,40.4,186.8,46.7,Pass
STU1109,Yash Iyer,Male,9,93.1,9.8,70.9,59.4,51.6,74.0,255.9,64.0,Pass
STU1110,Sai Rao,Male,10,94.2,10.0,61.7,51.5,51.8,34.5,199.5,49.9,Pass
STU1111,Sneha Rao,Female,12,72.0,13.8,57.8,63.3,66.0,56.6,243.7,60.9,Pass
STU1112,Diya Gupta,Male,10,91.4,12.6,78.4,81.1,64.5,73.9,297.9,74.5,Pass
STU1113,Meera Chavan,Male,11,75.7,1.8,44.7,43.6,31.4,46.3,166.0,41.5,Pass
STU1114,Ananya Mehta,Male,10,75.7,,56.2,57.8,82.0,65.7,261.7,65.4,Pass
STU1115,Shaurya Rao,Female,9,83.1,10.1,61.8,63.8,55.1,68.1,248.8,62.2,Pass
STU1116,Yash Reddy,Female,10,83.4,4.7,48.5,44.0,69.5,54.5,216.5,54.1,Pass
STU1117,Meera Sharma,Female,11,80.5,8.1,42.3,47.4,43.9,31.7,165.3,41.3,Pass
STU1118,Aarav Joshi,Male,11,64.0,3.8,28.0,29.4,26.8,19.6,103.8,26.0,Fail
STU1119,Priya Chavan,Female,12,78.5,8.4,58.2,52.2,49.0,40.1,199.5,49.9,Pass
STU1120,Yash Gupta,Female,10,100.0,9.7,71.7,73.3,75.8,74.1,294.9,73.7,Pass
STU1121,Saanvi Joshi,Male,11,46.6,9.7,40.0,26.6,19.0,33.3,118.9,29.7,Fail
STU1122,Aditya Reddy,Female,9,90.4,10.2,63.5,63.4,54.1,71.3,252.3,63.1,Pass
STU1123,Sai Kulkarni,Male,12,92.7,12.6,64.4,70.1,76.6,56.6,267.7,66.9,Pass
STU1124,Priya Joshi,Male,9,63.7,10.7,28.0,42.1,29.3,27.9,127.3,31.8,Fail
STU1125,Meera Iyer,Female,10,74.4,13.8,63.4,65.1,74.9,70.6,274.0,68.5,Pass
STU1126,Aarav Patel,Male,10,68.0,12.9,70.9,73.6,54.6,58.0,257.1,64.3,Pass
STU1127,Rohan Rao,Male,10,100.0,14.1,54.4,55.5,62.9,49.0,221.8,55.4,Pass
STU1128,Dhruv Pillai,Male,12,93.2,23.1,72.0,77.3,90.3,72.7,312.3,78.1,Pass
STU1129,Priya Nair,Male,11,93.8,12.1,49.7,62.0,58.3,57.2,227.2,56.8,Pass
STU1130,Dhruv Joshi,Male,12,81.4,20.4,79.5,87.5,68.9,77.5,313.4,78.4,Pass
STU1131,Ira Sharma,Female,9,95.7,12.4,66.7,69.6,81.5,58.2,276.0,69.0,Pass
STU1132,Meera Sharma,Female,12,79.9,9.7,36.4,46.1,52.0,48.2,182.7,45.7,Pass
STU1133,Neha Gupta,Female,9,96.3,9.3,70.5,66.0,68.3,84.6,289.4,72.4,Pass
STU1134,Diya Chavan,Female,12,,15.9,61.5,43.7,52.1,53.5,210.8,52.7,Pass
STU1135,Reyansh Verma,Female,11,71.8,16.2,54.2,65.3,49.6,60.2,229.3,57.3,Pass
STU1136,Aditya Sharma,Female,9,100.0,13.4,60.6,63.0,77.6,70.6,271.8,68.0,Pass
STU1137,Arjun Sharma,Male,10,79.7,14.5,51.5,57.9,53.9,61.1,224.4,56.1,Pass
STU1138,Dhruv Sharma,Male,10,69.2,4.4,44.4,53.2,39.9,44.5,182.0,45.5,Pass
STU1139,Priya Sharma,Male,12,69.1,3.3,57.7,64.2,56.2,68.2,246.3,61.6,Pass
STU1140,Vivaan Verma,Male,10,69.1,14.4,46.8,47.5,39.6,40.5,174.4,43.6,Pass
STU1141,Sneha Nair,Female,9,90.1,10.0,73.3,65.2,59.3,72.7,270.5,67.6,Pass
STU1142,Shaurya Iyer,Male,10,78.8,12.9,66.4,51.1,50.8,58.5,226.8,56.7,Pass
STU1143,Aarav Sharma,Female,11,100.0,8.1,48.9,59.7,60.6,44.2,213.4,53.4,Pass
STU1144,Pari Chavan,Female,11,94.2,17.3,80.5,72.8,67.2,75.4,295.9,74.0,Pass
STU1145,Vivaan Iyer,Female,12,83.1,4.0,36.0,42.9,53.8,43.1,175.8,44.0,Pass
STU1146,Diya Mehta,Male,9,96.8,5.3,68.6,63.6,69.3,65.0,266.5,66.6,Pass
STU1147,Sai Reddy,Male,11,74.1,15.5,65.1,76.6,63.8,69.2,274.7,68.7,Pass
STU1148,Vihaan Reddy,Female,11,57.7,1.0,29.7,29.1,22.3,35.6,116.7,29.2,Fail
STU1149,Ananya Kulkarni,Female,9,68.1,10.9,54.5,50.7,61.5,62.2,228.9,57.2,Pass
STU1150,Priya Sharma,Male,10,81.8,9.7,44.9,63.5,54.6,50.3,213.3,53.3,Pass
STU1151,Sai Kulkarni,Female,10,77.3,6.9,62.8,68.0,68.2,61.9,260.9,65.2,Pass
STU1152,Arjun Gupta,Male,12,89.9,9.7,54.6,59.0,55.0,38.4,207.0,51.8,Pass
STU1153,Vivaan Nair,Male,10,,6.5,68.5,66.3,69.4,73.5,277.7,69.4,Pass
STU1154,Kabir Singh,Male,9,89.0,16.6,64.0,65.9,43.9,73.3,247.1,61.8,Pass
STU1155,Anika Sharma,Male,11,98.0,18.1,73.8,72.2,78.1,77.0,301.1,75.3,Pass
STU1156,Ishaan Rao,Female,10,78.5,7.2,45.5,53.9,49.3,55.0,203.7,50.9,Pass
STU1157,Priya Nair,Female,12,86.7,11.4,61.0,56.0,59.5,64.8,241.3,60.3,Pass
STU1158,Anika Desai,Male,10,58.9,3.6,40.1,27.0,53.5,43.5,164.1,41.0,Pass
STU1159,Aditya Gupta,Female,9,78.5,14.2,74.4,62.3,92.1,79.5,308.3,77.1,Pass
STU1160,Sneha Singh,Female,12,65.2,13.4,47.5,54.4,40.1,52.8,194.8,48.7,Pass
STU1161,Vihaan Patel,Female,10,81.7,8.9,57.4,71.3,62.2,59.4,250.3,62.6,Pass
STU1162,Neha Patel,Male,12,82.8,10.2,48.9,45.9,57.5,52.3,204.6,51.2,Pass
STU1163,Pari Gupta,Male,9,82.8,9.8,61.9,74.9,59.8,59.0,255.6,63.9,Pass
STU1164,Reyansh Gupta,Male,11,74.2,3.2,45.3,42.2,43.6,51.1,182.2,45.6,Pass
STU1165,Ishaan Sharma,Male,9,100.0,17.2,89.3,81.2,81.3,90.6,342.4,85.6,Pass
STU1166,Krishna Reddy,Male,9,64.8,6.2,44.5,36.1,42.5,51.1,174.2,43.6,Pass
STU1167,Riya Kulkarni,Female,9,64.1,6.2,39.4,34.7,38.1,46.4,158.6,39.6,Fail
STU1168,Aarav Singh,Male,9,99.9,10.4,67.4,79.3,70.2,83.5,300.4,75.1,Pass
STU1169,Sneha Joshi,Male,11,71.5,13.6,40.5,41.4,38.8,45.7,166.4,41.6,Pass
STU1170,Yash Verma,Male,11,68.7,7.1,34.7,46.5,39.6,30.3,151.1,37.8,Fail
STU1171,Shaurya Pillai,Male,12,100.0,3.2,63.5,61.9,69.8,56.9,252.1,63.0,Pass
STU1172,Meera Mehta,Male,10,91.8,7.0,49.8,63.0,68.3,58.6,239.7,59.9,Pass
STU1173,Aditya Reddy,Male,11,72.9,11.3,54.2,62.2,55.4,44.7,216.5,54.1,Pass
STU1174,Sneha Mehta,Male,11,82.6,18.9,79.5,86.0,85.6,89.4,340.5,85.1,Pass
STU1175,Anika Joshi,Male,10,100.0,6.0,67.7,61.9,69.0,67.4,266.0,66.5,Pass
STU1176,Ira Rao,Male,11,88.3,5.2,53.7,72.1,58.9,60.1,244.8,61.2,Pass
STU1177,Kavya Verma,Female,9,95.4,4.7,62.1,62.0,67.0,40.9,232.0,58.0,Pass
STU1178,Aarav Chavan,Male,9,89.7,3.9,54.8,65.6,53.4,58.1,231.9,58.0,Pass
STU1179,Diya Iyer,Male,10,91.2,15.4,79.1,60.6,66.2,67.7,273.6,68.4,Pass
STU1180,Arjun Singh,Male,12,80.5,16.0,70.3,69.9,57.8,61.6,259.6,64.9,Pass
STU1181,Shaurya Joshi,Female,12,80.1,10.7,61.8,60.2,55.6,53.9,231.5,57.9,Pass
STU1182,Ishaan Patel,Male,10,83.2,8.3,61.8,55.4,61.2,58.9,237.3,59.3,Pass
STU1183,Pari Patel,Female,10,88.8,17.6,63.1,72.3,82.9,65.7,284.0,71.0,Pass
STU1184,Ira Kulkarni,Female,9,76.6,10.5,73.9,71.5,59.4,66.8,271.6,67.9,Pass
STU1185,Kabir Kulkarni,Male,12,81.5,14.4,48.1,53.7,49.6,51.9,203.3,50.8,Pass
STU1186,Aarav Kulkarni,Female,11,76.3,7.7,56.6,57.6,63.8,53.1,231.1,57.8,Pass
STU1187,Ira Singh,Female,9,81.4,10.2,72.2,61.8,64.5,78.0,276.5,69.1,Pass
STU1188,Kavya Kulkarni,Male,10,65.0,4.3,30.9,46.4,19.8,33.5,130.6,32.6,Fail
STU1189,Vihaan Nair,Male,12,100.0,13.5,59.3,60.0,56.3,58.1,233.7,58.4,Pass
STU1190,Krishna Gupta,Female,11,71.2,10.3,53.6,65.8,52.9,57.8,230.1,57.5,Pass
STU1191,Meera Patel,Male,11,75.7,6.2,43.6,51.7,66.0,47.7,209.0,52.2,Pass
STU1192,Anika Chavan,Female,9,70.2,6.0,57.3,56.8,58.3,54.0,226.4,56.6,Pass
STU1193,Yash Patel,Male,12,87.4,16.8,62.8,73.6,67.7,64.3,268.4,67.1,Pass
STU1194,Yash Desai,Female,12,77.6,17.8,59.6,60.2,53.6,62.2,235.6,58.9,Pass
STU1195,Riya Chavan,Male,10,68.4,8.6,44.6,38.5,50.8,45.9,179.8,45.0,Pass
STU1196,Riya Verma,Female,12,87.9,10.7,69.0,73.7,82.7,83.4,308.8,77.2,Pass
STU1197,Kabir Patel,Female,12,89.5,12.1,72.2,65.0,72.1,76.0,285.3,71.3,Pass
STU1198,Anika Desai,Male,9,79.2,10.6,34.3,31.3,31.1,26.2,122.9,30.7,Fail
STU1199,Ishaan Gupta,Male,12,72.0,2.9,43.7,48.7,49.2,33.7,175.3,43.8,Pass
STU1200,Aarav Gupta,Male,11,100.0,12.7,70.4,71.7,73.0,72.4,287.5,71.9,Pass
STU1201,Aarav Chavan,Male,9,,1.9,57.2,54.7,52.2,45.4,209.5,52.4,Pass
STU1202,Aryan Gupta,Male,9,64.7,6.3,40.9,34.2,36.0,37.4,148.5,37.1,Fail
STU1203,Dhruv Kulkarni,Female,10,97.0,12.9,81.0,76.9,76.6,84.9,319.4,79.8,Pass
STU1204,Reyansh Patel,Female,12,69.7,11.9,67.9,70.7,60.4,66.3,265.3,66.3,Pass
STU1205,Kavya Sharma,Female,10,100.0,7.8,43.9,49.2,55.1,50.0,198.2,49.6,Pass
STU1206,Anika Rao,Female,11,81.0,8.2,54.0,40.0,45.9,60.4,200.3,50.1,Pass
STU1207,Priya Patel,Female,9,92.2,8.2,62.3,61.8,56.5,49.1,229.7,57.4,Pass
STU1208,Kabir Reddy,Female,9,55.0,8.3,39.3,57.5,41.1,49.5,187.4,46.8,Pass
STU1209,Kabir Chavan,Female,9,64.6,9.1,39.1,44.8,51.3,43.0,178.2,44.6,Pass
STU1210,Meera Nair,Male,11,96.0,13.5,61.4,68.5,67.4,76.4,273.7,68.4,Pass
STU1211,Sai Desai,Male,11,83.8,8.1,54.4,57.2,58.7,44.6,214.9,53.7,Pass
STU1212,Pari Nair,Male,10,100.0,12.5,68.1,68.7,63.9,52.2,252.9,63.2,Pass
STU1213,Krishna Singh,Male,10,85.8,12.3,56.2,68.8,77.3,64.7,267.0,66.8,Pass
STU1214,Priya Verma,Male,10,81.7,10.9,58.3,60.2,43.8,67.9,230.2,57.6,Pass
STU1215,Aryan Chavan,Male,12,100.0,10.0,81.1,80.3,76.5,78.8,316.7,79.2,Pass
STU1216,Aarav Rao,Female,9,92.1,11.3,62.6,65.4,73.2,56.5,257.7,64.4,Pass
STU1217,Myra Sharma,Female,9,77.6,12.9,63.1,78.3,37.9,77.0,256.3,64.1,Pass
STU1218,Arjun Rao,Male,10,66.9,12.7,55.0,43.3,59.1,42.9,200.3,50.1,Pass
STU1219,Pooja Patel,Male,9,51.5,15.8,36.2,39.0,38.6,50.8,164.6,41.2,Pass
STU1220,Vihaan Patel,Male,10,74.7,5.8,53.4,41.8,50.4,39.5,185.1,46.3,Pass
STU1221,Kavya Sharma,Male,12,65.8,7.5,40.8,31.7,35.2,35.0,142.7,35.7,Fail
STU1222,Diya Rao,Male,12,100.0,4.5,61.4,55.1,69.8,66.3,252.6,63.2,Pass
STU1223,Meera Desai,Female,11,72.2,13.3,64.6,64.6,66.5,51.9,247.6,61.9,Pass
STU1224,Aadhya Iyer,Male,12,71.9,8.3,54.0,43.1,42.8,53.5,193.4,48.4,Pass
STU1225,Sai Patel,Female,10,61.7,9.9,55.4,52.3,42.5,46.9,197.1,49.3,Pass
STU1226,Sneha Joshi,Female,12,76.8,7.4,58.4,38.5,60.3,46.3,203.5,50.9,Pass
STU1227,Arjun Kulkarni,Male,11,72.0,8.3,55.2,50.1,52.1,61.3,218.7,54.7,Pass
STU1228,Pooja Sharma,Female,9,100.0,15.9,73.7,76.8,100.0,76.2,326.7,81.7,Pass
STU1229,Aadhya Iyer,Female,10,82.0,12.9,43.3,50.4,60.3,53.3,207.3,51.8,Pass
STU1230,Aditya Rao,Male,9,79.9,9.5,37.2,42.2,33.2,60.5,173.1,43.3,Pass
STU1231,Aarav Gupta,Male,11,78.4,13.0,60.2,55.8,51.8,51.8,219.6,54.9,Pass
STU1232,Pooja Iyer,Female,11,89.4,13.6,73.8,72.7,61.1,80.3,287.9,72.0,Pass
STU1233,Shaurya Sharma,Female,11,74.6,8.2,45.0,46.7,50.0,36.3,178.0,44.5,Pass
STU1234,Aditya Verma,Female,9,88.0,4.5,49.9,58.0,55.4,57.0,220.3,55.1,Pass
STU1235,Yash Mehta,Female,9,99.4,7.4,81.5,90.2,82.5,70.8,325.0,81.2,Pass
STU1236,Kabir Mehta,Female,9,85.5,4.9,36.5,44.8,52.1,51.2,184.6,46.2,Pass
STU1237,Aditya Kulkarni,Female,9,77.0,14.5,62.6,75.7,82.2,77.2,297.7,74.4,Pass
STU1238,Aadhya Kulkarni,Female,11,68.6,14.8,61.6,41.7,61.9,70.8,236.0,59.0,Pass
STU1239,Riya Pillai,Female,11,76.7,16.2,68.3,65.1,63.2,79.0,275.6,68.9,Pass
STU1240,Kabir Reddy,Female,10,86.8,2.3,64.4,68.9,61.5,66.4,261.2,65.3,Pass
STU1241,Vivaan Pillai,Male,10,61.6,13.4,46.7,50.5,56.8,48.2,202.2,50.6,Pass
STU1242,Priya Mehta,Female,9,90.0,19.3,82.7,78.8,81.0,82.1,324.6,81.2,Pass
STU1243,Vivaan Mehta,Female,12,82.5,14.6,73.0,83.5,75.7,76.7,308.9,77.2,Pass
STU1244,Kavya Kulkarni,Male,12,78.2,1.3,64.9,42.4,42.9,66.1,216.3,54.1,Pass
STU1245,Aarav Joshi,Female,11,72.1,16.7,60.1,47.8,60.4,37.6,205.9,51.5,Pass
STU1246,Ananya Nair,Male,11,74.3,9.9,51.2,57.2,53.0,73.6,235.0,58.8,Pass
STU1247,Anika Reddy,Female,11,87.2,9.4,42.1,49.2,43.1,50.7,185.1,46.3,Pass
STU1248,Pooja Mehta,Female,10,78.5,11.7,64.4,58.5,53.6,47.6,224.1,56.0,Pass
STU1249,Shaurya Mehta,Female,10,74.0,5.5,49.9,51.0,48.4,56.2,205.5,51.4,Pass
STU1250,Aditya Verma,Male,11,85.6,10.3,52.6,58.4,52.7,66.0,229.7,57.4,Pass
STU1251,Yash Kulkarni,Female,11,86.1,16.8,71.5,76.8,61.1,72.3,281.7,70.4,Pass
STU1252,Saanvi Rao,Female,11,65.0,11.7,47.7,48.4,50.0,36.7,182.8,45.7,Pass
STU1253,Neha Reddy,Male,12,86.9,10.6,67.3,62.2,71.5,63.5,264.5,66.1,Pass
